NAME,AREA,DISTRCT,LAT,LONG,RIVER,DETAILS_URL,ALTITUDE,ALKALINITY,DEPTH
Loch Voil,2.17,Forth,56.34801,-4.42286,River Forth,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100254,Lowland,Low alkalinity,Deep
Lochan Breaclaich,0.51,Tay,56.45533,-4.23651,River Tay,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100243,Mid-altitude,Low alkalinity,Deep
Lochan Fada,3.77,West Highland,57.68621,-5.31286,River Ewe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100117,Mid-altitude,Low alkalinity,Deep
Lochan na h-Earba (east),0.56,Argyll,56.92934,-4.47535,River Lochy,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100200,Mid-altitude,Low alkalinity,Deep
Lochan na h-Earba (west),1.05,Argyll,56.90651,-4.50918,River Lochy,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100204,Mid-altitude,Low alkalinity,Deep
Lochindorb,2.15,North Highland,57.40437,-3.71289,River Findhorn,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100157,Mid-altitude,Low alkalinity,Deep
Lochrutton Loch,0.51,Solway,55.03903,-3.72573,Dumfries Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100329,Lowland,Low alkalinity,Deep
Lower Loch Laggan,2.16,Argyll,56.89629,-4.62298,River Lochy,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100205,Mid-altitude,Low alkalinity,Deep
Lussa Loch,1.2,Argyll,55.5094,-5.62627,Kintyre Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100306,Lowland,Low alkalinity,Deep
Orrin Reservoir,4.04,North Highland,57.50685,-4.72088,River Conon,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100148,Mid-altitude,Low alkalinity,Deep
Red Tarn Helvellyn,0.0781,Solway,54.5284,-3.009,River Eden,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=GB30229083,,Low alkalinity,Shallow
Spey Reservoir,0.87,North East Scotland,57.00903,-4.35556,River Spey,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100195,Mid-altitude,Low alkalinity,Shallow
Whiteadder Reservoir,0.77,Tweed,55.86401,-2.55718,Whiteadder Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100289,Mid-altitude,Low alkalinity,Deep
Castle Carrock Reservoir,0.1803,Solway,54.8846,-2.7121,River Eden,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=GB30228476,,Marl Lake,Shallow
Alemoor Reservoir,0.52,Tweed,55.42603,-2.95488,River Tweed,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100312,Mid-altitude,Medium alkalinity,Deep
Backwater Reservoir,1.76,Tay,56.72891,-3.21993,River Tay,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100218,Mid-altitude,Medium alkalinity,Deep
Ballo Reservoir,0.65,Forth,56.23072,-3.25214,River Leven (Fife),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100267,Mid-altitude,Medium alkalinity,Deep
Barr Loch,0.82,Clyde,55.78232,-4.63049,Black Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100297,Lowland,Medium alkalinity,Deep
Black Loch,0.5,Solway,54.91295,-4.94669,Galloway Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100335,Lowland,Medium alkalinity,Deep
Cam Loch,2.53,West Highland,58.0743,-5.03109,River Kirkaig,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100081,Lowland,Medium alkalinity,Deep
Carron Valley Reservoir,3.76,Forth,56.03163,-4.09852,River Carron (Falkirk),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100283,Mid-altitude,Medium alkalinity,Deep
Castle Loch (Machars),0.93,Solway,54.84953,-4.67033,Galloway Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100337,Lowland,Medium alkalinity,Shallow
Cobbinshaw Reservoir,1.26,Forth,55.80511,-3.56809,River Almond,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100295,Mid-altitude,Medium alkalinity,Deep
Dunwan Dam,0.5,Clyde,55.71561,-4.30651,White Cart Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100304,Mid-altitude,Medium alkalinity,Deep
Fionn Loch,0.83,West Highland,58.10609,-5.1746,River Kirkaig,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100077,Lowland,Medium alkalinity,Deep
Fruid Reservoir,1.09,Tweed,55.45856,-3.4306,River Tweed,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100311,Mid-altitude,Medium alkalinity,Deep
Gladhouse Reservoir,1.54,Forth,55.77062,-3.11941,River Esk (Lothian),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100302,Mid-altitude,Medium alkalinity,Deep
Heldale Water,0.64,Orkney and Shetland,58.81101,-3.288,Hoy Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100013,Lowland,Medium alkalinity,Deep
